HLF+/+ ND			HLF+/- ND			HLF+/+ HFD			HLF+/- HFD		
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0.001504	0	0	0	0.076365	0	0	0	0	0
0	0	0.001504	0	0	0	0.091524	0	0	0	0	0.034772
0	0	0.001504	0	0	0	0.091524	0	0	0	0	0.124472
0	0	0.001504	0	0	0	0.091524	0	0	0	0	0.131065
0	0.000115	0.001504	0	0	0	0.091524	0	0	0	0	0.131065
0	0.001111	0.001504	0	0	0	0.091524	0	0	0	0	0.131065
0.01591	0.002234	0.001504	0	0	0	0.091524	0	0	0	0	0.131065
0.07665	0.002514	0.001504	0.0000241	0	0	0.091524	0	0	0	0	0.131065
0.123725	0.002514	0.001504	0.031788	0	0	0.091524	0	0	0.00387	0	0.131065
0.126242	0.024269	0.001863	0.061375	0	0	0.091524	0	0	0.015729	0	0.131065
0.126896	0.115341	0.034847	0.061375	0	0	0.091524	0	0	0.017218	0	0.131065
0.138808	0.137772	0.086259	0.061375	0	0	0.091524	0	0	0.017218	0	0.131065
0.140133	0.13784	0.098732	0.061375	0	0	0.091524	0	0	0.017218	0	0.131065
0.140133	0.138903	0.098732	0.061375	0	0	0.091524	0.005219	0	0.017218	0	0.131065
0.140133	0.138903	0.098732	0.061375	0	0.007457	0.091524	0.015636	0	0.017218	0	0.131065
0.140133	0.138903	0.098732	0.061375	0	0.060564	0.091524	0.015642	0	0.017218	0	0.131065
0.140133	0.138903	0.098732	0.061375	0	0.10729	0.091524	0.032835	0	0.017563	0	0.154461
0.140133	0.138903	0.098732	0.061375	0	0.110374	0.091524	0.040803	0	0.069313	0	0.216509
0.140133	0.138903	0.098732	0.061375	0	0.110374	0.091524	0.040803	0	0.131041	0	0.238828
0.140133	0.138903	0.098732	0.073705	0	0.110374	0.091524	0.040803	0	0.133216	0	0.238828
0.140133	0.138903	0.098732	0.105272	0	0.110374	0.091524	0.040803	0	0.133216	0	0.238828
0.140133	0.138903	0.098732	0.110698	0	0.110374	0.091524	0.040803	0	0.133216	0	0.238828
0.140133	0.138903	0.098732	0.110698	0	0.110374	0.091524	0.040803	0	0.133216	0	0.238828
0.140133	0.138903	0.098732	0.110698	0	0.110374	0.091524	0.040803	0	0.133216	0	0.238828
0.140133	0.138903	0.098732	0.110698	0	0.110374	0.091524	0.040803	0	0.133216	0	0.238828
0.140133	0.138903	0.098732	0.110698	0	0.110374	0.091524	0.040803	0	0.133216	0	0.238828
0.140133	0.138903	0.098732	0.110698	0	0.110374	0.091524	0.040803	0.013035	0.133216	0	0.244564
0.140133	0.138903	0.098732	0.110698	0	0.110374	0.091524	0.040803	0.021369	0.133216	0	0.265692
0.140133	0.138903	0.098732	0.110698	0	0.110374	0.091524	0.040803	0.021369	0.133216	0	0.286046
0.144474	0.138903	0.098732	0.110698	0	0.110374	0.091524	0.040803	0.021369	0.133216	0	0.286449
0.193049	0.138903	0.098732	0.110698	0	0.110374	0.091524	0.040803	0.021369	0.133216	0	0.32374
0.213382	0.138903	0.098732	0.110698	0	0.110374	0.091524	0.040803	0.021369	0.133216	0	0.539246
0.213382	0.138903	0.098732	0.110698	0	0.110374	0.091524	0.040803	0.021369	0.153966	0	0.610569
0.213382	0.138903	0.098732	0.110698	0	0.110374	0.091524	0.040803	0.021369	0.22559	0	0.610569
0.213382	0.138903	0.098732	0.110698	0	0.110374	0.091524	0.040803	0.021369	0.246908	0	0.610569
0.213382	0.138903	0.11406	0.117315	0	0.110374	0.091524	0.040803	0.021369	0.246908	0	0.610569
0.213382	0.138903	0.119306	0.166692	0	0.110374	0.091524	0.040803	0.021369	0.246908	0	0.610569
0.213382	0.138903	0.119306	0.194739	0	0.110374	0.091524	0.040803	0.021369	0.246908	0	0.610569
