A	HLF-/-HFD					HLF+/+HFD				
0	19.18	19	20.83	19.99	21.33	19.38	20.79	20.14	19.01	20.55
1	21.54	21.44	21.51	18.7	23.3	22.25	23.8	23.99	20.1	23.37
2	21.97	23.11	23.79	19.74	23.96	22.83	26.3	27.17	21.75	24.49
3	23.17	24.85	24.24	21.28	26.22	23	27.43	32.56	23.48	27.38
4	23.97	25.67	26.84	21.88	25.95	24.58	28.73	35.25	26.71	28.58
5	24.59	28.11	28.74	24.66	26.02	26.39	29.28	36.96	30.01	30.15
6	25.26	29.74	30.36	27.21	26.96	28.83	29.56	38.2	33.82	31.15
7	27.51	28.14	30.97	29.02	28.87	31.01	32	40.21	37.61	29
8	28.84	28.8	31.98	30.24	28.85	33.61	31.5	39.14	40.24	31.94
9	29.15	30.43	31.66	30.72	29.67	36.32	34.28	39	41.6	35.62
										
B	7.437	9.315	13.617	14.385	10.595	8.189	9.322	14.037	8.399	8.999
	14.277	17.243	21.225	19.935	18.322	15.245	18.908	23.835	17.175	17
	16.623	23.154	19.064	24.958	19.044	7.584	25.03	28.101	20.999	24.759
	18.412	27.819	19.875	27.038	20.309	14.57	28.02	30.58	22.312	25.412
	19.979	28.866	23.794	28.31	21.237	16.387	27.678	33.708	25.387	25.767
	22.964	30.793	28.028	28..901	21.045	20.898	29.802	35.357	33.316	31.416
	25.705	30.173	27.142	29.125	22.548	25.81	29.032	37.72	33.673	32.457
	27.414	31.636	26.146	29.138	26.651	31.116	33.022	39.955	37.43	38.412
	29.535	31.438	27.175	31.492	26.839	33.252	31.502	39.172	39.584	38.654
	30.868	31.936	28.432	32.602	29.103	35.421	36.672	38.854	41.148	40.212
										
C	71.089	64.298	65.069	64.845	72.152	71.847	67.821	64.61	63.101	66.941
	58.54	53.538	55.297	55.594	55.682	61.38	56.399	54.305	53.561	59.612
	58.867	57.326	56.957	54.254	57.154	64.052	52.262	50.427	52.854	58.782
	56.823	55.046	56.29	52.634	55.461	59.839	49.763	47.764	56.511	55.622
	54.38	52.826	53.881	52.687	55.102	59.007	48.089	45.617	48.245	50.932
	54.14	49.168	52.8	51.627	55.534	56.389	46.878	44.129	46.406	46.445
	51.298	47.58	49.549	51.595	54.136	51.093	47.953	41.979	44.499	43.276
	59.346	48.545	48.684	49.784	51.472	48.549	45.275	40.632	43.568	40.888
	48.589	47.4	49.901	52.886	50.34	47.611	47.041	42.098	41.041	38.946
	45.17	46.654	48.379	53.871	47.172	40.14	43.504	39.749	40.723	39.173
