		HLF+/+HFD				HLF-/-HFD			
J	0	7.9	6.1	6.1	6.6	6.5	9.7	8.3	8.6
	15	14.2	13.5	12	10.6	15.3	16.7	18.9	17
	30	11.9	11.4	8.7	9.4	15.8	16.3	16.9	18.6
	60	8.5	7.2	7.4	6.7	12.8	11.7	12.9	12.2
	90	7.5	6.7	6.7	6.7	10.3	10.1	10.8	12
	120	7	6.5	6.2	6.6	8.9	9.8	9.9	9.9
		97.35	99.4	105.7	107.5	79.75	75	67.95	62.5
									
K	0	10.1	10.1	10.4	10.3	7.8	8.7	8.4	9.2
	15	6.8	6.7	8.6	5.8	5.4	7.7	4.8	5.6
	30	6.3	6.1	5.7	5.6	4.6	3.9	6.7	3.9
	60	7.7	6.4	7.4	6.7	6.3	7.6	5.7	4.6
	90	8.9	8.6	9.3	7.3	7	7.8	6.6	6.3
	120	8.8	8.9	9.1	8.7	7.2	8.3	7.5	8.3
		63.3	59.8	64.85	58	50	57	51.15	49
