		HLF+/+HFD					HLF-/-HFD				
M	TG	69.99005167	69.77102884	69.89005167	83.93496926	72.61841264	56.55621273	61.30186691	60.27973136	62.10497962	57.50535
	TC	351.3473767	352.267918	200.1453749	283.1108604	259.6365774	181.6191171	172.0682997	165.6243735	160.1010229	154.0023
N	HDL-C	0.157885005	0.144671456	0.159240251	0.261221755	0.113162212	0.27714581	0.256817264	0.355410658	0.256139647	0.340503099
	LDL-C	4.420825554	3.491573822	6.300298566	3.789091923	2.775314	                2.272668517	1.790349077             2.246455788             1.121319	                 1.241943
O	AST	51.976612	            66.78862552	           50.01453722	70.94073	63.99022	25.68510556	47.83415	43.12675	34.29294	38.87914
	ALT	31.40543868	34.26164165	14.27566338	15.91908133	16.91453953	7.996043962	11.97766702	12.68402533	7.552520487	14.38607
P		0.257805	0.254024	0.271373	0.290723	0.294616	0.252467	0.240011	0.243125	0.219994	0.218882
Q	LBP	93.98097	106.8679	101.162	71.55361	87.55432	60.18244	79.82439	80.11224	88.89718	62.31242
	sCD14	40.7837	46.45159	39.23306	38.67093	43.30314	20.28081	29.66153	27.79981	30.8975	26.49458
R	TG	507.2971	303.8957	667.2911	481.1399	380.6141	205.0404	166.7003	328.2968	267.4806	255.8278
	TC	92.72867	88.62342	88.19597	116.1587	143.965	41.47582	72.86539	53.75221	59.84164	79.47469
S		2.385341	2.351527	3.969998	3.376853	3.335694	5.523026	5.868161	4.206271	7.691599	6.632714
T		3.565361	4.662539	5.357719	1.147456	3.863297	7.46449	16.23358	10.57768	11.34341	6.416754
U		7.312967	7.120081	5.818566	7.242309	9.347529	1.179715	2.223359	1.82532	1.209618	2.55992
V		68.08306	66.14694	64.50987	38.7957	72.13553	52.71411	20.00566	42.75779	41.25688	45.54228
		Fe2+					Fe3+				
W	HLF+/-HFD	21.79199	18.11377	17.09342	18.36816	14.85359	26.5964	41.26515	23.78415	30.02687	20.98342
	HLF-/-HFD	10.8879	12.39048	14.17607	13.87201	13.69771	31.98079	23.1007	36.15797	21.64622	21.95806
