HLF+/+HFD			HLF-/-HFD		
0.051698	0.054141	0.042742	0.067109	0.058234	0.053333
0.06471	0.048448	0.045024	0.070693	0.055744	0.05505
0.062621	0.039438	0.050262	0.078916	0.054029	0.048021
0.047077	0.041	0.069348	0.108884	0.05152	0.051581
0.046638	0.051042	0.056844	0.089251	0.057381	0.053594
0.047393	0.047904	0.062329	0.097864	0.054095	0.049263
0.043778	0.046604	0.063604	0.099866	0.054656	0.047524
0.049517	0.041433	0.068705	0.107874	0.052168	0.049091
0.045724	0.047571	0.064395	0.101108	0.059811	0.053516
0.042986	0.05185	0.062139	0.097566	0.058021	0.056119
0.04479	0.07097	0.064083	0.100617	0.048903	0.045563
0.047202	0.062257	0.058667	0.092113	0.057007	0.05735
0.042011	0.052201	0.054991	0.086342	0.055515	0.050513
0.044238	0.040748	0.054987	0.086335	0.052405	0.053796
0.048665	0.041126	0.05625	0.088319	0.052538	0.048006
0.035194	0.051728	0.05677	0.089136	0.05287	0.050031
0.043805	0.062346	0.057188	0.089791	0.053306	0.050659
0.040588	0.064635	0.065602	0.103003	0.055701	0.040292
0.035063	0.065367	0.062584	0.098263	0.069559	0.042989
0.032981	0.062235	0.058364	0.091638	0.061415	0.041195
0.033024	0.052313	0.062126	0.097545	0.058811	0.044732
0.037613	0.058039	0.049188	0.07723	0.066204	0.04756
0.040405	0.056395	0.048809	0.076636	0.048504	0.047964
0.039219	0.058305	0.043096	0.067666	0.043746	0.046071
0.034436	0.055147	0.045094	0.070802	0.059589	0.046067
0.043599	0.055394	0.045421	0.071315	0.05674	0.047959
0.043156	0.05122	0.043713	0.068634	0.059981	0.047203
0.043362	0.066877	0.041983	0.065919	0.053665	0.058173
0.052469	0.053528	0.04189	0.065772	0.044327	0.07872
0.049151	0.061191	0.042299	0.066414	0.052913	0.048165
0.045526	0.05294	0.03595	0.056445	0.051727	0.052942
0.05263	0.050461	0.038652	0.060687	0.055585	0.048761
0.050206	0.045101	0.038824	0.060958	0.062024	0.046796
0.043624	0.039743	0.040566	0.063694	0.050935	0.050176
0.044454	0.040584	0.04245	0.066651	0.052367	0.048174
0.040628	0.041021	0.048862	0.076718	0.051836	0.045351
0.038011	0.044239	0.043499	0.068298	0.058411	0.047708
0.03925	0.045435	0.03913	0.061439	0.051794	0.055568
0.042318	0.04467	0.04255	0.066809	0.053974	0.052598
0.036807	0.039521	0.045432	0.071333	0.053253	0.045097
0.035412	0.043355	0.042762	0.06714	0.055071	0.046781
0.03683	0.041849	0.041109	0.064545	0.064537	0.041938
0.038207	0.042057	0.041365	0.064947	0.062838	0.05345
0.038838	0.042425	0.040594	0.063738	0.053904	0.047196
0.040906	0.043667	0.044801	0.070343	0.060561	0.049918
0.040945	0.038616	0.036467	0.057257	0.040871	0.047519
0.039835	0.039832	0.038726	0.060805	0.040568	0.049936
0.037903	0.043857	0.056712	0.089044	0.035984	0.04767
0.036107	0.052126	0.058332	0.091588	0.031584	0.04817
0.038912	0.043379	0.051732	0.081224	0.037604	0.048479
0.037981	0.049999	0.052246	0.082032	0.045092	0.0504
0.046411	0.039494	0.053426	0.083885	0.056491	0.049442
0.042387	0.044421	0.055161	0.086609	0.060887	0.043159
0.041481	0.043936	0.057278	0.089932	0.053601	0.06693
0.037319	0.045628	0.04939	0.077548	0.051719	0.062785
0.038901	0.048749	0.049411	0.077581	0.049481	0.060061
0.047385	0.042769	0.049538	0.07778	0.053926	0.052402
0.050123	0.042142	0.049612	0.077896	0.049426	0.058761
0.048868	0.050096	0.051429	0.080749	0.055911	0.056358
0.046075	0.041739	0.039172	0.061504	0.049744	0.059464
0.052395	0.038721	0.042668	0.066994	0.050146	0.057099
0.047094	0.044066	0.054275	0.085218	0.05019	0.055369
0.04553	0.041289	0.059568	0.093528	0.053557	0.057399
0.049721	0.048017	0.053866	0.084575	0.062661	0.067453
0.0416	0.037793	0.051408	0.080715	0.061733	0.058004
0.039829	0.046437	0.051995	0.081638	0.045718	0.058236
0.041716	0.058381	0.04952	0.077752	0.044436	0.051447
0.034721	0.071787	0.047896	0.075202	0.050503	0.050619
0.030878	0.061342	0.050236	0.078876	0.055479	0.050977
0.036499	0.071734	0.055857	0.087701	0.059511	0.051667
0.040274	0.054943	0.04968	0.078003	0.054197	0.050828
0.038548	0.063026	0.041603	0.065322	0.055201	0.045662
0.029942	0.050636	0.041087	0.064511	0.055812	0.05357
0.041394	0.055052	0.043933	0.06898	0.053238	0.050935
0.044846	0.054908	0.047767	0.075	0.040522	0.051573
0.041756	0.054052	0.04711	0.073967	0.060437	0.054384
0.044475	0.062879	0.047503	0.074585	0.064557	0.038745
0.038278	0.058998	0.051147	0.080307	0.068457	0.063283
0.048753	0.085822	0.060572	0.095104	0.069659	0.081725
0.058518	0.095516	0.058967	0.092584	0.074196	0.078964
0.051963	0.047368	0.099834	0.056749	0.093522	0.082204
0.043211	0.03767	0.048778	0.076586	0.060849	0.053551
0.051315	0.025998	0.062603	0.098293	0.075629	0.056002
0.059604	0.073191	0.067181	0.088381	0.091662	0.070259
0.047153	0.038345	0.058056	0.091155	0.070468	0.051782
0.061233	0.047519	0.06326	0.099325	0.066229	0.064517
0.064549	0.086786	0.071842	0.0928	0.077985	0.081776
0.072152	0.077107	0.038537	0.060508	0.063105	0.055794
0.058084	0.051832	0.03685	0.057859	0.089412	0.083885
0.066057	0.091204	0.059344	0.093176	0.076749	0.069454
0.063776	0.077577	0.056757	0.089115	0.076543	0.065481
0.054475	0.061787	0.054993	0.086345	0.066142	0.061147
0.043439	0.044308	0.045757	0.071843	0.065005	0.052279
0.040642	0.041041	0.044623	0.070063	0.06732	0.058083
0.052223	0.053159	0.062955	0.098847	0.081865	0.069007
0.060115	0.070688	0.05288	0.083027	0.093721	0.070249
0.055301	0.08034	0.064103	0.087763	0.089362	0.072853
0.055422	0.062585	0.047992	0.075352	0.086997	0.077563
0.057512	0.063647	0.053681	0.084285	0.084922	0.073262
0.056556	0.080791	0.054776	0.086005	0.082246	0.069539
0.055641	0.065544	0.056428	0.088598	0.08069	0.072146
0.050127	0.067042	0.046135	0.072437	0.068502	0.064988
0.057711	0.071703	0.049882	0.078321	0.066916	0.072481
0.057292	0.070487	0.058543	0.091918	0.070911	0.069423
0.05019	0.065687	0.055105	0.086521	0.071596	0.079479
0.050648	0.064059	0.021455	0.033687	0.057898	0.054527
0.039035	0.047682	0.045536	0.071497	0.063826	0.052162
0.04035	0.047025	0.043278	0.067951	0.061629	0.062711
0.044343	0.054652	0.030555	0.047975	0.065867	0.047423
0.042461	0.046516	0.036139	0.056743	0.067323	0.04379
0.043472	0.04713	0.0444	0.069712	0.05662	0.045031
0.045817	0.046921	0.044218	0.069426	0.054681	0.050715
0.043915	0.04692	0.055253	0.086753	0.050918	0.062204
0.044156	0.049074	0.046793	0.073471	0.057247	0.058447
0.045486	0.04965	0.041988	0.065926	0.080268	0.056458
0.042274	0.04769	0.048821	0.076655	0.065006	0.05666
0.038936	0.051587	0.051787	0.081312	0.055181	0.045951
0.039077	0.047487	0.06223	0.097708	0.047664	0.052467
0.041905	0.044325	0.063161	0.09917	0.056239	0.059711
0.042189	0.041741	0.060352	0.094759	0.062048	0.067014
0.043433	0.043576	0.048753	0.076547	0.057258	0.058388
0.040398	0.0421	0.039769	0.062442	0.047006	0.052134
0.037446	0.041457	0.03781	0.059366	0.050295	0.051328
0.037402	0.04304	0.04256	0.066824	0.062526	0.055503
0.04332	0.051455	0.042754	0.067128	0.057018	0.053797
0.046724	0.057448	0.044049	0.069162	0.051923	0.057878
0.031904	0.067401	0.045284	0.071101	0.054811	0.062083
0.03423	0.067811	0.045627	0.07164	0.066476	0.056504
0.036044	0.059592	0.042437	0.06663	0.0685	0.052845
0.038642	0.061738	0.043726	0.068655	0.06857	0.050797
0.039642	0.049183	0.049076	0.077054	0.064604	0.053245
0.041655	0.039907	0.045086	0.07079	0.060637	0.053399
0.041998	0.042479	0.043762	0.068711	0.066074	0.051106
0.04141	0.045081	0.041564	0.065261	0.090371	0.068824
0.03808	0.045901	0.045685	0.07173	0.069181	0.077414
0.050043	0.060372	0.06639	0.104239	0.083392	0.086031
0.05789	0.062754	0.073223	0.077546	0.093306	0.07986
0.04626	0.043877	0.060654	0.095233	0.079705	0.059886
0.043272	0.046589	0.05993	0.094097	0.057524	0.053906
0.045246	0.04878	0.065684	0.103131	0.050836	0.061041
0.040377	0.051103	0.05641	0.08857	0.06092	0.065695
0.040107	0.050094	0.046696	0.073317	0.062351	0.06587
0.039853	0.052967	0.046014	0.072247	0.059538	0.050961
0.045445	0.0638	0.049324	0.077444	0.06205	0.061106
0.043052	0.06278	0.053667	0.084262	0.060389	0.067192
0.042099	0.053783	0.058851	0.092402	0.059616	0.086154
0.050495	0.05154	0.057943	0.090977	0.075054	0.080476
0.060342	0.055261	0.060553	0.095076	0.064189	0.071704
0.063018	0.055133	0.061137	0.095991	0.072514	0.070395
0.065377	0.057617	0.054545	0.085641	0.062329	0.0857
0.048082	0.060318	0.051903	0.081493	0.05782	0.085477
0.0482	0.057456	0.056319	0.088427	0.061335	0.081064
0.044871	0.056955	0.061869	0.097142	0.06892	0.077966
0.041761	0.056691	0.063338	0.099448	0.069465	0.083115
0.041008	0.050212	0.070214	0.110244	0.064035	0.071251
0.042336	0.05528	0.070422	0.11057	0.073164	0.073738
0.041496	0.059787	0.069704	0.109443	0.060618	0.080429
0.041021	0.069266	0.080825	0.126904	0.065578	0.084015
0.045839	0.065969	0.068719	0.107896	0.064824	0.07459
0.041726	0.055825	0.063621	0.099892	0.068688	0.077237
0.045037	0.063149	0.071443	0.112173	0.06717	0.080778
0.05262	0.068798	0.067561	0.106078	0.055021	0.078026
0.045196	0.061295	0.062115	0.097527	0.06293	0.07563
0.053604	0.052265	0.069644	0.109349	0.071111	0.077994
0.044664	0.05373	0.060956	0.095708	0.068515	0.077459
0.053311	0.056922	0.051351	0.080627	0.067761	0.075606
0.060821	0.054539	0.06263	0.098336	0.073406	0.075529
0.042749	0.053122	0.062939	0.098821	0.079847	0.087525
0.04915	0.052893	0.058738	0.092225	0.074756	0.074127
0.044905	0.059604	0.056734	0.089078	0.078943	0.073867
0.038941	0.063467	0.05345	0.083922	0.08966	0.065612
0.039943	0.07178	0.064003	0.100492	0.072294	0.065267
0.038548	0.09024	0.064793	0.101732	0.067381	0.083465
0.040463	0.067385	0.071165	0.111737	0.065229	0.07463
0.045753	0.069033	0.06472	0.101617	0.071989	0.067551
0.051814	0.071572	0.060757	0.095395	0.061714	0.072638
0.047105	0.069795	0.075671	0.118811	0.074952	0.069693
0.042663	0.068383	0.063494	0.099693	0.060359	0.071598
0.048836	0.06801	0.06425	0.100879	0.06895	0.080899
0.052414	0.076276	0.059308	0.09312	0.059689	0.069925
0.051349	0.067492	0.059038	0.092697	0.063874	0.073458
0.049954	0.070494	0.052541	0.082494	0.050018	0.073313
0.059467	0.066859	0.0616	0.096719	0.058819	0.082249
0.062538	0.061649	0.06563	0.103047	0.07377	0.070402
0.052147	0.06531	0.062201	0.097663	0.06445	0.072927
0.054536	0.063145	0.061696	0.09687	0.064614	0.067938
0.053159	0.056749	0.066534	0.104466	0.069463	0.075474
0.051185	0.049314	0.047799	0.07505	0.054126	0.07155
0.049381	0.052033	0.05439	0.085398	0.075188	0.064036
0.058274	0.058785	0.052712	0.082764	0.071768	0.065736
0.055314	0.063234	0.051943	0.081556	0.060682	0.066794
0.053753	0.073911	0.057634	0.090491	0.057794	0.070127
0.057285	0.061958	0.056279	0.088364	0.055741	0.070881
0.056603	0.062371	0.055942	0.087835	0.063104	0.066649
0.051015	0.061743	0.063164	0.099174	0.060316	0.066157
0.047192	0.069046	0.056725	0.089065	0.058381	0.063698
0.044521	0.06371	0.064115	0.100668	0.065861	0.063608
0.054097	0.065631	0.064544	0.101341	0.049102	0.067142
0.046139	0.056656	0.068184	0.107057	0.057645	0.060143
0.046221	0.059668	0.075114	0.117937	0.071796	0.065292
0.03919	0.065585	0.076234	0.119696	0.077366	0.076028
0.041554	0.06504	0.071336	0.112006	0.080875	0.067722
0.04682	0.067594	0.069428	0.109009	0.078154	0.060132
0.041632	0.061615	0.063601	0.099861	0.075121	0.075011
0.041334	0.064775	0.051675	0.081136	0.070691	0.071529
0.046105	0.064881	0.066503	0.104416	0.077702	0.071911
0.043351	0.059854	0.051894	0.081479	0.070516	0.071542
0.044068	0.059119	0.058527	0.091894	0.073717	0.063596
0.057181	0.064386	0.063358	0.099479	0.070626	0.061346
0.063492	0.066606	0.063039	0.098978	0.062519	0.061863
0.049956	0.061012	0.062489	0.098115	0.080146	0.059548
0.040337	0.05049	0.057868	0.090859	0.060719	0.050106
