HLF+/+HFD			HLF-/-HFD		
0.02944	0.031607	0.048927	0.070392	0.061651	0.068313
0.028569	0.032045	0.046137	0.062639	0.064389	0.078531
0.028606	0.031875	0.040146	0.063612	0.070646	0.072898
0.030478	0.035324	0.04328	0.057023	0.063148	0.076595
0.038855	0.044678	0.036159	0.058988	0.057258	0.059303
0.03945	0.056529	0.034768	0.057535	0.053699	0.050695
0.034759	0.046233	0.033315	0.067286	0.046481	0.048252
0.02677	0.044028	0.033053	0.0689	0.042476	0.051391
0.028898	0.043042	0.035461	0.060276	0.046432	0.048439
0.033456	0.050592	0.03643	0.056935	0.0546	0.050447
0.030738	0.055534	0.03361	0.060787	0.050789	0.067861
0.029791	0.051678	0.035269	0.056317	0.046637	0.065364
0.028033	0.050275	0.044795	0.058369	0.040732	0.052968
0.029231	0.043614	0.052987	0.061378	0.042211	0.05386
0.028303	0.040669	0.053507	0.066827	0.052092	0.051542
0.027043	0.0462	0.053837	0.062119	0.059221	0.046323
0.027708	0.044481	0.049035	0.058102	0.061872	0.043831
0.028674	0.034663	0.051705	0.061962	0.049374	0.04895
0.03111	0.032258	0.044103	0.050701	0.050348	0.046426
0.035868	0.030211	0.039741	0.045766	0.05552	0.053106
0.035245	0.034117	0.039	0.05797	0.063359	0.049241
0.035318	0.033629	0.03518	0.05514	0.055072	0.046804
0.032129	0.034999	0.033846	0.047527	0.052303	0.042337
0.031438	0.042873	0.035782	0.045036	0.051254	0.047492
0.031732	0.047134	0.036994	0.042886	0.052435	0.053764
0.034882	0.045293	0.04991	0.042305	0.059005	0.049772
0.036204	0.039406	0.050435	0.052282	0.052707	0.046906
0.039864	0.037732	0.048421	0.051084	0.046759	0.05063
0.039717	0.042151	0.044428	0.05757	0.038038	0.060606
0.04195	0.050656	0.044825	0.060214	0.042129	0.067979
0.040062	0.042609	0.036198	0.059333	0.037993	0.062957
0.030703	0.038914	0.040975	0.04974	0.041277	0.056973
0.033826	0.051275	0.036917	0.042609	0.036194	0.057276
0.037511	0.052524	0.042267	0.048011	0.036903	0.058964
0.034497	0.051092	0.0508	0.045945	0.038961	0.059116
0.029789	0.052842	0.056805	0.050188	0.051796	0.051318
0.028916	0.053291	0.060268	0.062053	0.065015	0.054346
0.028915	0.049292	0.052919	0.066127	0.064848	0.055207
0.03467	0.045018	0.049191	0.067575	0.060821	0.053237
0.043221	0.047756	0.047265	0.065665	0.055765	0.056917
0.042221	0.041862	0.047011	0.064738	0.05763	0.05369
0.046517	0.037	0.05096	0.065844	0.051835	0.047996
0.035762	0.042986	0.047614	0.061529	0.060538	0.053808
0.028748	0.0416	0.051086	0.063615	0.058948	0.060447
0.034288	0.041433	0.046062	0.069177	0.06258	0.053096
0.03158	0.041086	0.04462	0.064647	0.05454	0.06137
0.03566	0.039977	0.042791	0.064339	0.04883	0.062131
0.027636	0.045575	0.056369	0.063084	0.04897	0.0551
0.041853	0.044724	0.044632	0.06574	0.050885	0.050194
0.02693	0.050176	0.031756	0.062064	0.058132	0.051508
0.028049	0.047495	0.0358	0.060252	0.056071	0.049364
0.0312	0.053538	0.039158	0.06822	0.059627	0.052345
0.03573	0.052171	0.036569	0.060079	0.061187	0.054496
0.037874	0.048301	0.034445	0.056366	0.052054	0.054161
0.029345	0.057824	0.034639	0.061772	0.056729	0.050786
0.034367	0.049654	0.036241	0.063037	0.051531	0.061883
0.032743	0.04301	0.036599	0.057489	0.049862	0.054706
0.034318	0.04588	0.032566	0.061197	0.053188	0.063586
0.029576	0.048406	0.032336	0.065568	0.059546	0.070442
0.032358	0.04538	0.031324	0.064684	0.055944	0.072341
0.030856	0.048994	0.035361	0.058432	0.056635	0.058688
0.032231	0.043137	0.034907	0.046072	0.052934	0.04935
0.032487	0.036703	0.038923	0.048775	0.052802	0.047934
0.034203	0.036647	0.045481	0.05455	0.056903	0.056751
0.034313	0.04238	0.045626	0.050809	0.051877	0.056772
0.031604	0.035718	0.046784	0.04884	0.04828	0.060905
0.029822	0.033644	0.048969	0.057943	0.050755	0.050782
0.028126	0.032453	0.052715	0.067532	0.057007	0.048445
0.031845	0.034855	0.049003	0.065137	0.064563	0.04854
0.04271	0.036759	0.048133	0.058231	0.051732	0.047108
0.044189	0.03475	0.051884	0.060552	0.049034	0.051847
0.039573	0.034972	0.04961	0.067553	0.04638	0.048448
0.041455	0.03598	0.046389	0.067504	0.050576	0.048626
0.03575	0.035462	0.044569	0.043267	0.047003	0.047503
0.041634	0.035681	0.047656	0.04447	0.05115	0.045417
0.049566	0.034614	0.045845	0.044854	0.043509	0.043792
0.039915	0.045825	0.047729	0.043757	0.046212	0.042388
0.037485	0.046255	0.048644	0.038428	0.04973	0.052181
0.041273	0.036188	0.05099	0.038634	0.046083	0.051521
0.030368	0.029488	0.040931	0.062152	0.042839	0.043941
0.029072	0.032925	0.043094	0.061682	0.048612	0.051731
0.02915	0.036806	0.039006	0.060517	0.042159	0.044303
