HLF+/+HFD			HLF-/-HFD		
0.744669	0.711716	0.720565	0.721051	0.757121	0.735888
0.704992	0.682746	0.686204	0.696264	0.751473	0.702834
0.724005	0.693227	0.703815	0.693964	0.768663	0.69275
0.73998	0.685126	0.715291	0.742083	0.790779	0.718495
0.702491	0.703438	0.738719	0.688347	0.744455	0.711422
0.704751	0.69812	0.743772	0.702934	0.723076	0.699449
0.701856	0.687728	0.756527	0.734842	0.703257	0.708218
0.693876	0.725501	0.756206	0.734067	0.724471	0.741307
0.637365	0.711259	0.762837	0.717989	0.703417	0.765108
0.663891	0.702322	0.758658	0.73173	0.692713	0.726262
0.680642	0.721829	0.76715	0.738234	0.692278	0.667781
0.676126	0.732033	0.775814	0.768316	0.719948	0.720148
0.68477	0.759296	0.765804	0.733316	0.710913	0.699866
0.679513	0.718961	0.752376	0.702658	0.686276	0.706567
0.672547	0.698328	0.741276	0.712575	0.683661	0.703411
0.658192	0.74083	0.750524	0.722083	0.702599	0.685643
0.692479	0.774415	0.775951	0.745154	0.690105	0.695149
0.660969	0.804661	0.752475	0.738019	0.708473	0.677661
0.647202	0.790416	0.732023	0.721567	0.700239	0.698425
0.64585	0.768767	0.735987	0.695536	0.713025	0.696858
0.636131	0.771548	0.73955	0.726057	0.726861	0.704232
0.639783	0.763333	0.767592	0.708816	0.749617	0.704516
0.656336	0.762585	0.741565	0.71116	0.740775	0.694922
0.65177	0.744296	0.714181	0.69859	0.729995	0.684169
0.656255	0.745536	0.696151	0.692815	0.721637	0.709274
0.683584	0.741413	0.7025	0.706521	0.721906	0.711349
0.679276	0.734063	0.691429	0.702934	0.718551	0.698865
0.675714	0.715059	0.732091	0.704717	0.694788	0.698175
0.683183	0.770477	0.719737	0.690133	0.717644	0.718563
0.692867	0.797861	0.706102	0.715078	0.713265	0.714055
0.691067	0.791629	0.708529	0.705481	0.708564	0.724264
0.672569	0.784583	0.706474	0.701489	0.694583	0.73188
0.739693	0.736317	0.704347	0.711969	0.720266	0.728294
0.740945	0.720298	0.688904	0.740536	0.711472	0.721822
0.72974	0.68012	0.674861	0.769933	0.698128	0.731612
0.708263	0.670039	0.692473	0.781655	0.703169	0.734369
0.728087	0.683548	0.670617	0.741769	0.701074	0.753751
0.755326	0.693877	0.672295	0.71453	0.710384	0.747138
0.74461	0.746873	0.681127	0.744864	0.675672	0.746028
0.715354	0.754164	0.701932	0.739892	0.686655	0.715629
0.69319	0.720479	0.690496	0.726364	0.686501	0.730385
0.682979	0.698055	0.678497	0.706516	0.717681	0.733876
0.6917	0.680807	0.685692	0.72851	0.749184	0.746188
0.678744	0.686051	0.67954	0.72925	0.760246	0.708609
0.68673	0.687352	0.652865	0.731048	0.733996	0.727973
