HLF+/+HFD			HLF-/-HFD		
0	0	0	0	0	0
0	0	0.030913	0.087463	0.010381	0.077892
0	0	0.095274	0.095808	0.017671	0.161023
0	0	0.098077	0.104081	0.025581	0.244154
0.000514	0.000246	0.098077	0.106153	0.026171	0.303171
0.022839	0.037949	0.098077	0.205087	0.026171	0.31245
0.0242	0.062423	0.098077	0.212513	0.026171	0.337515
0.0242	0.129254	0.098077	0.227215	0.026171	0.339311
0.0242	0.131958	0.098077	0.272005	0.026171	0.339311
0.0242	0.131958	0.098077	0.290809	0.026171	0.339311
0.0242	0.131958	0.098077	0.293853	0.026171	0.339311
0.0242	0.131958	0.098077	0.307735	0.026171	0.339311
0.0242	0.201807	0.107248	0.366441	0.026171	0.339311
0.0242	0.271927	0.200588	0.41616	0.026171	0.339311
0.0242	0.276947	0.314278	0.421857	0.026171	0.373236
0.0242	0.276947	0.427968	0.444232	0.026171	0.471396
0.0242	0.276947	0.510669	0.452601	0.026171	0.571069
0.0242	0.276947	0.516328	0.452601	0.026171	0.654831
0.042478	0.276947	0.529152	0.452601	0.026171	0.674078
0.092316	0.276947	0.534388	0.452601	0.026171	0.679023
0.092316	0.276947	0.534388	0.452601	0.026527	0.679104
0.092316	0.276947	0.534388	0.468863	0.065244	0.702906
0.092316	0.276947	0.534388	0.498195	0.117213	0.745428
0.092316	0.276947	0.534388	0.498195	0.123908	0.782165
0.092316	0.313071	0.554649	0.498195	0.137865	0.788102
0.092316	0.394106	0.614155	0.498195	0.1415	0.79351
0.092316	0.394106	0.643509	0.498195	0.1415	0.797537
0.092316	0.394106	0.643509	0.499355	0.187428	0.797664
0.092316	0.394106	0.643509	0.519862	0.272563	0.797664
0.095542	0.394106	0.643509	0.520721	0.274293	0.797664
0.129333	0.394106	0.643509	0.56595	0.280593	0.797664
0.16127	0.394106	0.643509	0.629706	0.284592	0.797664
0.163454	0.394388	0.643509	0.629706	0.28582	0.797664
0.163454	0.433802	0.643509	0.629706	0.304178	0.797664
0.19421	0.500893	0.666907	0.629706	0.370865	0.797664
0.256655	0.567984	0.718873	0.629706	0.394887	0.842377
0.256655	0.613695	0.770908	0.629706	0.409376	0.900726
0.256655	0.615059	0.808243	0.629706	0.43419	0.91189
0.256655	0.615059	0.834732	0.664178	0.450539	0.942475
0.256655	0.615059	0.900645	0.75032	0.461987	1.009752
0.311063	0.615059	0.967164	0.783765	0.477167	1.06218
0.394544	0.637406	1.004399	0.783765	0.498351	1.065829
0.397188	0.744636	1.004525	0.805256	0.699426	1.065829
0.397188	0.761845	1.004525	0.949148	0.847336	1.065829
0.397188	0.81236	1.004525	0.970864	0.848696	1.067935
0.397188	0.887608	1.01091	0.991905	0.848696	1.07395
0.397188	0.887608	1.073568	1.00492	0.848703	1.074681
0.397188	0.887608	1.075795	1.03787	0.853615	1.080857
0.397188	0.89017	1.075795	1.07044	0.862752	1.096529
0.397188	0.896492	1.075795	1.081116	0.87189	1.133525
