SYMBOL	HCON1	HCON2	HCON3	HGW1	HGW2	HGW3
Citrate cycle (TCA cycle) 	19132.6226	19599.5596	20390.2559	31298.1619	21504.4281	25316.9963
 Fatty acid degradation 	7618.2796	8178.3179	8324.3988	10667.5796	8990.6542	9177.8654
Primary bile acid biosynthesis 	2498.9144	2016.2533	2501.6133	4626.8467	3010.9056	4054.2267
Secondary bile acid biosynthesis 	772.6794	382.3678	547.5089	2011.1633	868.1383	1700.3956
Oxidative phosphorylation 	10129.75	10712.2247	10415.4107	14111.7375	10910.9738	12672.0512
 Amino sugar and nucleotide sugar metabolism 	31643.2459	31913.9348	31567.4506	41571.8885	31330.7426	38080.9763
Glycerolipid metabolism 	16219.7481	14794.4894	15810.6841	12511.7153	14501.9494	13677.8841
Glycerophospholipid metabolism 	15481.4902	14788.8995	15177.4233	13121.8475	14028.4868	14122.8075
Sphingolipid metabolism 	12595.288	10845.7905	11704.165	21476.918	12205.4935	19601.7495
 N-Glycan biosynthesis 	1651.3323	1847.8636	1645.7918	2053.9123	2190.95	2353.9686
Glycosaminoglycan degradation 	14860.1571	6600.8343	10353.6414	36641.0314	12974.9057	31523.3357
Ubiquinone and other terpenoid-quinone biosynthesis 	4705.469	5741.673	5834.137	12572.444	5690.066	8672.748
Vitamin B6 metabolism 	22612.565	24086.3762	24785.9175	33402.3838	24542.0475	29290.125
Nicotinate and nicotinamide metabolism 	26383.0728	28913.4367	27639.11	33484.7283	29074.0233	30312.5644
Biotin metabolism 	34869.022	33996.072	36390.124	61294.538	35949.372	49656.96
