	CON fEVs				GW6471 fEVs			
0	14560	15643	15190	19256	9249	11863	10312	10861
1	15129	16499	16005	20038	10212	12953	11275	11661
2	16252	17764	17006	21186	11413	14270	12444	12838
3	17084	18891	17939	22350	12078	15140	13345	13825
4	17869	19738	18721	23020	12938	16160	14161	14655
5	18461	20676	19351	23872	13575	16709	14908	15333
6	19002	21245	19839	24156	14038	17377	15468	15860
7	19331	21782	20313	24639	14592	17922	16024	16312
8	19736	22191	20710	25072	14954	18270	16523	16795
9	20205	22785	21055	25525	15383	18621	16783	17192
10	20315	23109	21219	25720	15566	18870	17175	17406
11	20756	23388	21496	25993	15873	19294	17444	17843
12	20978	23665	21892	26256	16223	19486	17847	17981
13	21179	23985	22048	26502	16529	19725	18040	18218
14	21263	24185	22105	26629	16549	19956	18304	18511
15	21487	24490	22247	26746	16784	20212	18483	18725
16	21597	24438	22524	26831	16907	20239	18613	18691
17	21757	24585	22514	26940	17065	20478	18730	18974
18	21807	24849	22658	26959	17131	20387	18868	19072
19	21817	24711	22743	27050	17267	20575	19087	19153
20	21830	25023	22959	27298	17412	20635	19151	19250
21	22018	25038	22787	27302	17433	20782	19253	19320
22	22149	25064	22896	27118	17466	20776	19240	19407
23	22049	25158	22765	27257	17552	20848	19260	19410
24	21922	25251	22873	27289	17471	20863	19307	19573
25	22215	25267	22855	27279	17569	20886	19482	19438
26	21923	25149	22754	27220	17638	20805	19498	19483
27	22002	25239	22729	27198	17631	20839	19369	19488
28	21959	25182	22673	27185	17654	20838	19306	19463
29	21829	25106	22671	27177	17689	20692	19448	19432
30	21978	25230	22719	27175	17619	20713	19389	19497
