J	CON fEVs				GW6471 fEVs				
	0.012044	0.012042	0.011333	0.011755	0.013347	0.014645	0.014339	0.0138	
K		CON fEVs		GW6471 fEVs					
	0.231766	0.293948	0.239593	0.337291	0.295653	0.353221			
L	CON fEVs				GW6471 fEVs				
	2948.853	3181.104	3235.171	2870.04	2577.13	2804.916	2780.375	2769.11	
M		CON fEVs		GW6471 fEVs					
	64348.06	64413.16	62764.67	60837.55	56582.73	58941.04			
N		Fe2+				Fe3+			
	CON fEVs	0.13866	0.148061	0.150411	0.13631	0.335989	0.2584	0.325033	0.385674
	GW6471 fEVs	0.087087	0.078078	0.096096	0.102102	0.37019	0.3479	0.286064	0.286317
O		CON fEVs		GW6471 fEVs					
	1329.66	1212.953	1265.104	1124.426	1151.053	1133.115			
	CON fEVs				GW6471 fEVs				
P	49669.81	40965.31	51073.67	47830.07	55499.01	54983.58	55167.5	53611.07	
Q	0.00923	0.00903	0.009493	0.008979	0.010385	0.010482	0.010269	0.010479	
R		CON fEVs		GW6471 fEVs					
	0.609023	0.621528	0.625632	0.877163	0.860972	0.974662			
