gene	non alcoholic fatty liver disease	Enterocyte_cells_Obese	Enterocyte_cells_ND
AKT3	yes	1.075383988	1
BCL2L11	yes	1.107835235	1
BID	yes	1.254516512	1
CASP3	yes	1.154423456	1
CASP7	yes	1.214988361	1
CASP8	yes	1.478834342	1
EIF2AK3	yes	1.035491103	1
GSK3A	yes	1.055285805	1
INSR	yes	1.223055297	1
IRS2	yes	1.458259231	1
ITCH	yes	1.171090486	1
LOC102117303	yes	1.180019471	1
LOC102117433	yes	1.078953545	1
LOC102120205	yes	1.063032251	1
LOC102124180	yes	1.190226087	1
LOC102126517	yes	1.104905701	1
LOC102128659	yes	1.29681896	1
LOC102132250	yes	1.058358507	1
LOC102132790	yes	1.167070616	1
LOC102133057	yes	1.144146779	1
LOC102133631	yes	1.039630023	1
LOC102133949	yes	1.180478842	1
LOC102135848	yes	1.108215099	1
LOC102136267	yes	1.036929401	1
LOC102137297	yes	1.20569189	1
LOC102139510	yes	1.29553611	1
LOC102141433	yes	1.242419498	1
LOC102143756	yes	1.302245428	1
LOC102144280	yes	1.364181734	1
MAP3K11	yes	1.101126674	1
MLXIPL	yes	1.499896768	1
NDUFA1	yes	1.32094054	1
NDUFA11	yes	1.134728254	1
NDUFA13	yes	1.149838986	1
NDUFA2	yes	1.083413989	1
NDUFA3	yes	1.106589864	1
NDUFA4	yes	1.08436041	1
NDUFA7	yes	1.094616093	1
NDUFAB1	yes	1.070463151	1
NDUFB1	yes	1.11533942	1
NDUFB10	yes	1.049024702	1
NDUFB11	yes	1.091682214	1
NDUFB2	yes	1.105732572	1
NDUFB4	yes	1.105007881	1
NDUFB7	yes	1.059404154	1
NDUFB9	yes	1.1443763	1
NDUFC1	yes	1.132897202	1
NDUFC2	yes	1.223979638	1
NDUFS5	yes	1.168295114	1
NDUFS6	yes	1.071315175	1
NDUFS7	yes	1.045284913	1
NDUFV1	yes	1.052016905	1
NDUFV2	yes	1.050395514	1
NDUFV3	yes	1.066890853	1
NR1H3	yes	1.119260469	1
PIK3CA	yes	1.067630352	1
PIK3CD	yes	1.136441559	1
PRKAB1	yes	1.037944161	1
PRKAG2	yes	1.520307185	1
RAC1	yes	1.129511312	1
RXRA	yes	1.257681034	1
SDHB	yes	1.103925549	1
SDHD	yes	1.043010761	1
TGFB1	yes	1.133789665	1
TNFRSF1A	yes	1.119059037	1
TRAF2	yes	1.254537136	1
Bioinformatic analysis was performed using the OmicStudio tools at https://www.omicstudio.cn/tool.
