 Fatty acid	Both	Carbohydrate	RNA-seq	
LOC102143004	ZNF695	LYST	REG1B	
CYP3A4	SMYD3	ARID4B	ENSMFAG00000028033	
APOA1	KIF26B	SLC35F3	LGALS2	
HSD17B2	EFCAB2	C1H1orf131	ENSMFAG00000037584	
SI	SDCCAG8	MGST3	ENSMFAG00000052786	
PCK1	EXO1	POU2F1	CACNA1F	
PLS1	CHRM3	LOC107126403	NR1D1	
CIDEB	MTR	CEP350	KCNJ13	
PTPRR	DISC1	TRMT1L	ENSMFAG00000043301	
SLC28A2	ABCB10	SWT1	C6	
SLC2A5	UCK2	TPR	SEMA3B	
ZG16	C1H1orf112	PTPRC	ST3GAL4	
FABP1	DNM3	NR5A2	SLC16A9	
ALDOB	SOAT1	INAVA	ENSMFAG00000030865	
SPINK1	C1H1orf21	NUAK2	CIDEB	
LOC102116527	PLA2G4A	CD55	ENSMFAG00000049720	
ANXA13	ASPM	IRF6	ENSMFAG00000038048	
SLC5A1	IPO9	PROX1	NOP9	
ACE2	PLEKHA6	CENPF	ENSMFAG00000065768	
APOB	NUCKS1	KCTD3	MLXIPL	
CLIC5	PIGR	SLC30A10	ENSMFAG00000051250	
SGK2	DTL	MIA3	ENSMFAG00000048748	
MGAM	KCTD3	FBXO28	SULT1E1	
DEFA6	TMEM63A	WDR26	SGK2	
ABCB1	LIN9	LOC101866396	ENSMFAG00000000362	
ABCC2	LOC102126029	ACBD3	MAN2C1	
B2M	C1H1orf35	COQ8A	SLC28A2	
FLVCR2	DAP3	ARF1	HIP1R	
LOC102126703	ADAR	F11R	IFITM1	
SULT1E1	TPM3	SSR2	ENSMFAG00000044694	
LOC102117110	RPS27	YY1AP1	ENSMFAG00000035638	
TM4SF20	S100A6	ADAR	ENSMFAG00000041949	
LOC102140002	HMGCS2	UBAP2L	ENSMFAG00000063820	
LOC102115663	WDR3	TPM3	ENSMFAG00000044593	
DST	TTF2	RPS27	ENSMFAG00000058115	
RBP2	GSTM5	GATAD2B	CHCHD10	
LOC102128784	ELAPOR1	S100A6	AADAC	
SLC2A2	LOC102141746	S100A10	LRRC45	
MUC13	SASS6	TUFT1	ENSMFAG00000002923	
CYP2J2	TLCD4	CGN	PGAM2	
FGF13	SLC44A3	PRUNE1	ENSMFAG00000037055	
LOC102141707	DIPK1A	CTSS	DEF8	
LOC102128706	RPL5	GOLPH3L	ADGRF1	
SULT1B1	GLMN	LOC123567259	CD200	
ASIC2	CDC7	OTUD7B	NOXA1	
LOC123572957	CLCA1	LOC102128584	MLKL	
MGAM2	DNAI3	LOC123569745	MS4A18	
PARP14	SRSF11	LOC102124884	SPSB3	
PLPP1	IL12RB2	FMO5	TEPSIN	
LY75	RAVER2	LOC102138546	ENSMFAG00000050348	
SLC5A9	CACHD1	NOTCH2	C1orf35	
KIFC3	ROR1	HMGCS2	ENSMFAG00000030625	
MYH14	LOC102130275	PTPN22	CYP2F1	
TFF3	FGGY	LRIF1	KLK4	
MEP1B	TCEANC2	EPS8L3	GSTM5	
CEACAM20	NDC1	GSTM5	LENG1	
XDH	SLC5A9	LOC102141746	ENSMFAG00000028933	
KRT20	RAD54L	VAV3	METTL7B	
CD55	LOC101866756	SLC44A3	ENSMFAG00000059475	
EPS8L3	EIF2B3	RPAP2	GDPD5	
SLC15A1	RPS8	ZNF326	CYP4V2	
LOC102146002	ERI3	CLCA1	ENSMFAG00000028779	
NCKAP5	CCDC30	LOC102117652	STAP2	
APOC3	LOC101866300	PRKACB	ENSMFAG00000056747	
PLAC8	CLSPN	GIPC2	SYT5	
PHGR1	CSMD2	IL12RB2	ENSMFAG00000049894	
PTPRH	YARS1	DNAI4	UBXN1	
CYP27A1	ZBTB8A	JAK1	ZFAND2B	
LOC102134028	TRIM63	CACHD1	ENSMFAG00000001838	
TIAM2	SRSF10	CYP2J2	VPS16	
PEPD	RPL11	USP24	FBN3	
S100G	E2F2	TMEM59	ENSMFAG00000038635	
LOC102141835	HNRNPR	OSBPL9	IRF7	
XRN1	EPHB2	SLC5A9	ENSMFAG00000006545	
MME	HSPG2	LOC102136267	PLAAT3	
CYP4F12	ARHGEF10L	GPBP1L1	ENSMFAG00000052881	
MYO15B	RCC2	TESK2	ENSMFAG00000054948	
IL34	KAZN	BEST4	SHFL	
KCNJ13	DHRS3	RPS8	FCSK	
LOC123571590	DFFA	KDM4A	PLA2G4C	
CYP3A5	SLC2A5	FOXJ3	ENSMFAG00000058615	
MS4A8	RPL22	RHBDL2	ENSMFAG00000065253	
LRRC66	LOC123570479	STK40	VPS28	
TMEM45B	SKI	LOC101866300	ENSMFAG00000054673	
LOC102128376	DVL1	KIAA0319L	ECHDC3	
TESK2	TTLL10	CSMD2	OSGIN1	
RPLP1	CRYBG3	RNF19B	FGB	
MYO1A	CMSS1	YARS1	ENSMFAG00000056931	
GSTM5	RPL24	ZBTB8OS	PARP15	
STAT3	NFKBIZ	ZBTB8A	SYT8	
LOC102130817	BBX	BSDC1	ENSMFAG00000045675	
CRIP1	CIP2A	HDAC1	HAPLN4	
TCF7L2	LOC102128784	KPNA6	PHF7	
SLC6A19	CD200	ATP5IF1	MT1E	
RPL18	POLQ	WASF2	ARMH1	
SLC13A2	PARP9	SLC9A1	CD1D	
FMO5	CCDC14	CNKSR1	GZMB	
ACAD11	EEFSEC	SYF2	ENSMFAG00000025896	
MAOB	NUP210	NIPAL3	NTAN1	
NBR1	TSEN2	HMGCL	ENSMFAG00000061962	
ABCG2	ATG7	RPL11	ENSMFAG00000031125	
LOC123572751	FANCD2	LUZP1	NLRC5	
AGR3	LOC102127351	LOC101925108	SH2D3A	
PRKG2	ITPR1	ECE1	C19orf33	
ACTB	FOXP1	CAPZB	MATK	
TM4SF4	LRIG1	AKR7A3	NELL1	
RNF213	APPL1	LOC102144489	CHI3L2	
LOC102130956	SFMBT1	ARHGEF10L	PSMG4	
RALGPS1	GNL3	SDHB	ENSMFAG00000030830	
OSGIN1	PBRM1	SPEN	IFT43	
RPS19	QRICH1	FBLIM1	BLOC1S1	
PTPN22	P4HTM	TMEM82	SHARPIN	
LOC102123548	SMARCC1	DDI2	HMGCS2	
SLC2A7	NBEAL2	DHRS3	ENSMFAG00000056937	
OCIAD2	LIMD1	CASZ1	ENSMFAG00000051097	
MYO7B	KIF15	UBE4B	SURF2	
SLC30A10	ULK4	SPSB1	ZNF205	
ACOX1	RPL14	SLC2A5	ENSMFAG00000043399	
SLC27A4	XYLB	ESPN	ANKRD24	
LOC102119992	TRANK1	RPL22	ENSMFAG00000064572	
ADGRG7	KLHL24	TTLL10	CSMD2	
MEP1A	LOC107128891	NSUN3	IFI35	
DEF8	NMD3	TBC1D23	IL7	
LOC102127013	SMC4	TOMM70	UROS	
CASZ1	RSRC1	ADGRG7	ENSMFAG00000056144	
LGALS3	GMPS	RPL24	ENSMFAG00000048906	
MAF	TM4SF4	NFKBIZ	C11orf94	
MLXIPL	PLSCR1	ALCAM	PAXX	
LOC102127277	LOC102146372	HHLA2	DNASE1	
ESR1	ATR	LOC102128784	SMG9	
SIPA1L3	XRN1	ATG3	ENSMFAG00000052884	
LOC102122033	TFDP2	GRAMD1C	ENSMFAG00000050290	
RPL13	ZBTB38	TMEM39A	OCIAD2	
SPPL2A	RBP2	GOLGB1	CRIP1	
PAG1	STAG1	PARP9	SPATC1L	
HHLA2	CEP63	DTX3L	MAPK12	
LOC102141746	TOPBP1	PARP15	ENSMFAG00000002673	
FABP2	NEK11	PARP14	ENSMFAG00000062398	
BTNL3	RPL15	SEC22A	NECAB2	
RAB17	NR1D2	ADCY5	ENSMFAG00000048312	
GK	OSBPL10	MUC13	ENSMFAG00000031901	
SLC6A6	CNOT10	KALRN	ENSMFAG00000037169	
LOC102127131	RFC4	SLC41A3	ENSMFAG00000052277	
HEPH	XXYLT1	RAB7A	ASAP3	
SQSTM1	MUC4	RAB43	TTLL6	
LOC123567603	RPL35A	SLC6A6	ENSMFAG00000044513	
LOC102133217	DYNC2I1	PPARG	ZNF595	
LGALS2	ESYT2	MTMR14	ZNF577	
KIAA1671	NCAPG2	LOC102127351	ENSMFAG00000049296	
LOC102140919	LMBR1	CRBN	ENSMFAG00000056933	
PLEKHM1	PRKAG2	FAM3D	PARP9	
SLC5A4	EZH2	ABHD6	BICDL2	
UNC5CL	CNTNAP2	DCP1A	ENSMFAG00000041894	
CAST	NUP205	QRICH1	TMEM80	
LOC102117143	LOC102141559	IP6K2	SIGIRR	
LOC102121212	SND1	LOC102117433	ENSMFAG00000029077	
ZER1	POT1	PFKFB4	PCK1	
LOC102146042	CADPS2	LIMD1	TMEM265	
UGT2B20	PUS7	CDCP1	REG1A	
