Fatty acid	Both	Carbohydrate	RNA-seq	
ZNF124	ERO1B	LOC102144076	ENSMFAG00000050810	
ZNF695	SIPA1L2	SCCPDH	MMP9	
AHCTF1	EGLN1	SMYD3	IGHV6-1	
SMYD3	PBX1	KIF26B	ENSMFAG00000058944	
KIF26B	POU2F1	CATSPERE	ENSMFAG00000035321	
HNRNPU	DCAF6	ADSS2	ADAMDEC1	
CATSPERE	ATP1B1	PLD5	ENSMFAG00000029998	
ADSS2	RABGAP1L	CHRM3	ENSMFAG00000056770	
SDCCAG8	SEC16B	LOC107127532	ENSMFAG00000060554	
EXO1	XPR1	EDARADD	IGHE	
CHRM3	RGL1	ERO1B	ENSMFAG00000050879	
HEATR1	CRB1	TARBP1	ENSMFAG00000030002	
EDARADD	DENND1B	PCNX2	CPVL	
ERO1B	NEK7	SIPA1L2	ENSMFAG00000044832	
B3GALNT2	LOC107129425	PBX1	CD163L1	
TARBP1	CDK18	UCK2	JCHAIN	
KCNK1	G0S2	CCDC181	MPEG1	
MAP3K21	PPP2R5A	C1H1orf112	ENSMFAG00000055302	
SIPA1L2	FLVCR1	RABGAP1L	ENSMFAG00000056636	
TTC13	ESRRG	RASAL2	ENSMFAG00000057808	
PBX1	GPATCH2	LAMC1	ENSMFAG00000050725	
UCK2	LOC102126565	CRB1	ENSMFAG00000007795	
POU2F1	LYPLAL1	DENND1B	SLC4A4	
MPZL1	SLC30A10	PLEKHA6	IGLV5-45	
CCDC181	ENAH	DTL	ENSMFAG00000036902	
SLC19A2	EPHX1	RPS6KC1	ENSMFAG00000061943	
C1H1orf112	ARHGEF11	ESRRG	PRSS35	
LOC102115157	GON4L	LYPLAL1	ENSMFAG00000001839	
ABL2	THEM4	ENAH	ENSMFAG00000027449	
ACBD6	RORC	LOC102126029	ENSMFAG00000047415	
DHX9	PRKAB2	C1H1orf35	ENSMFAG00000057442	
LAMC1	LOC102138546	OBSCN	ENSMFAG00000054305	
C1H1orf21	PDZK1	LOC102133329	ENSMFAG00000053673	
UCHL5	IGSF3	GPATCH4	ENSMFAG00000033218	
IPO9	ATP1A1	LOC102143825	DNASE1L3	
PLEKHA6	PHTF1	WDR3	MRC1	
CD46	MAGI3	MAN1A2	ADA2	
PLXNA2	SLC16A1	SLC16A1	ENPP2	
INTS7	RAP1A	CLCC1	MMP1	
DTL	AHCYL1	AGL	CYP51A1	
FLVCR1	SORT1	DPYD	ENSMFAG00000053296	
LOC102126565	MFSD14A	LOC102130691	ENSMFAG00000060234	
LYPLAL1	AGL	HS2ST1	SLC26A2	
NVL	ABCD3	DDAH1	LAT2	
LBR	FNBP1L	ADGRL2	CD163	
ENAH	HS2ST1	SLC44A5	P2RY6	
LIN9	GIPC2	ZRANB2	RNASE6	
LOC102126029	GADD45A	ROR1	IGLV4-69	
GPATCH4	SLC35D1	LOC102130275	ENSMFAG00000061592	
DAP3	MIER1	DOCK7	FOLR2	
FDPS	CYP2J2	NFIA	IGKC	
THEM4	DAB1	DAB1	HLA-DQA1	
WARS2	CMPK1	FAF1	DEFA6	
WDR3	CYP4B1	STIL	ENSMFAG00000056481	
MAN1A2	MAST2	LOC102134628	MGAT5	
TTF2	ZSWIM5	ZSWIM5	ENSMFAG00000049601	
TRIM33	HECTD3	EIF2B3	C1QC	
SLC16A1	FOXJ3	LOC102141361	ENSMFAG00000029552	
ELAPOR1	SCMH1	SCMH1	CD4	
GPSM2	MFSD2A	CTPS1	ATP8B1	
SASS6	EPB41	ZMYM4	IGLV7-43	
MFSD14A	RPS6KA1	SRSF10	EDEM3	
AGL	LOC123570070	LOC123570070	HMGCS1	
PTBP2	SLC66A1	EPHB2	C1QA	
LOC102130691	KIF1B	EIF4G3	LTF	
CCDC18	SPSB1	VPS13D	ENSMFAG00000063137	
DIPK1A	NADK	KIF1B	CPA3	
CDC7	LOC102132457	CAMTA1	ENSMFAG00000036101	
ZNF644	ROBO2	NPHP4	ALOX5	
HS2ST1	GBE1	PRDM16	ENSMFAG00000047765	
ZNHIT6	LOC107129008	ATAD3A	ENSMFAG00000047297	
DDAH1	TFG	LOC102132457	REG3A	
LOC102143578	HHLA2	DVL1	EPAS1	
FUBP1	ZBTB20	ACAP3	MAN2A1	
ZZZ3	NR1I2	ROBO2	ENSMFAG00000057187	
PIGK	GSK3B	GBE1	ENSMFAG00000063770	
RABGGTB	FAM162A	LOC107129008	ENSMFAG00000038063	
WLS	KPNA1	DCBLD2	SLC12A2	
SERBP1	HACD2	CMSS1	CXCL13	
ROR1	TMCC1	NECTIN3	ENSMFAG00000057615	
PGM1	RAF1	SPICE1	ENSMFAG00000054582	
LOC102130275	PPARG	ZBTB20	ENSMFAG00000043035	
ALG6	VGLL4	POLQ	HYOU1	
DOCK7	PDZRN3	EEFSEC	MS4A6A	
USP1	PPP4R2	RAD18	ABCC4	
NFIA	LOC102140080	PDZRN3	VMO1	
HOOK1	FLNB	FOXP1	TLR7	
DHCR24	LOC102130568	SUCLG2	MCM4	
SSBP3	RBM6	LRIG1	CYBB	
NDC1	MON1A	MAGI1	SLC11A2	
ORC1	KLHL18	PTPRG	GPR34	
FAF1	EXOSC7	FHIT	PLA2G7	
RAD54L	ANO10	SFMBT1	TCAF2C	
LOC101866756	SNRK	GNL3	ENSMFAG00000051884	
EIF2B3	LOC123571724	PBRM1	FHDC1	
ERI3	CTNNB1	POC1A	THEM4	
ST3GAL3	LRRFIP2	SEMA3B	CSF1R	
CTPS1	LOC102124408	MON1A	ENSMFAG00000002453	
MFSD2A	TMEM41A	MST1R	CP	
PABPC4	CLCN2	DAG1	ENSMFAG00000002634	
CLSPN	DCUN1D1	SLC26A6	MAP3K1	
ZMYM4	ATP11B	PLXNB1	TXNDC5	
SFPQ	FXR1	TCAIM	PDP2	
LOC102146966	PLD1	ANO10	ENSMFAG00000045830	
EPB41	TNIK	ULK4	MS4A7	
RCC1	SLC2A2	CTDSPL	UGGT1	
LOC123569557	SKIL	CLCN2	C5AR1	
EYA3	SI	NAALADL2	ENSMFAG00000039856	
RPA2	KPNA4	FNDC3B	RAB14	
ARID1A	SLC33A1	MECOM	RIOX2	
HMGN2	MME	SMC4	PRKAR2A	
CEP85	PFN2	RSRC1	ENSMFAG00000044791	
LOC102132344	RNF13	ZBTB38	SLC7A4	
SRRM1	ATP1B3	STAG1	SEC22C	
SRSF10	ACAD11	TOPBP1	EDNRB	
PITHD1	OXNAD1	TMEM108	ENSMFAG00000000045	
E2F2	UBE2E2	ANKRD28	ENSMFAG00000062916	
TCEA3	RARB	OXNAD1	ITGA4	
HNRNPR	SLC4A7	PLCL2	CREG1	
EPHB2	STT3B	TBC1D5	FNDC3B	
EIF4G3	LOC102143840	UBE2E2	PALS1	
MRTO4	FGF12	THRB	PCYOX1	
RCC2	MB21D2	RARB	ENSMFAG00000059514	
NBPF1	OPA1	OSBPL10	P2RY13	
SPEN	HES1	RFC4	TBC1D9	
SLC25A33	DLG1	LOC102143840	ENSMFAG00000048563	
LOC123570384	PCYT1A	FGF12	SEMA4A	
DNAJC11	INSIG1	DLG1	ENSMFAG00000007042	
NPHP4	LOC107129347	RNF168	PLVAP	
NADK	TPK1	NCAPG2	HOOK1	
ATAD3A	GSTK1	INSIG1	ATRN	
LOC102132457	MGAM2	LOC107129347	NCOA2	
ACAP3	MGAM	EZH2	ENSMFAG00000047347	
C1H1orf159	KDM7A	TPK1	ENSMFAG00000001996	
ROBO2	LOC102122997	KIAA1549	GPAM	
CGGBP1	CHCHD3	EXOC4	WDFY4	
LOC107129008	MKLN1	CHCHD3	KIF1B	
CRYBG3	UBE2H	LOC123572293	CD180	
DCBLD2	AHCYL2	SND1	ENSMFAG00000065285	
CMSS1	FAM3C	CADPS2	FGL2	
FILIP1L	TES	ST7	C3AR1	
CD47	ZNF277	DOCK4	TMX1	
NECTIN3	SLC26A3	IMMP2L	FOXO3	
PHLDB2	KMT2E	SRPK2	ENSMFAG00000043175	
SPICE1	PTPN12	PHTF2	ENSMFAG00000065297	
NAA50	ABCB1	CYP51A1	MIB1	
GSK3B	RUNDC3B	CDK6	AMD1	
POLQ	CYP51A1	PPP1R9A	TBXAS1	
IQCB1	PON3	UMAD1	TENT5C	
MIX23	PON2	ICA1	CORO2A	
PDIA5	C1GALT1	THSD7A	PFN2	
CCDC14	UMAD1	AGMO	SRGN	
OSBPL11	SCIN	MACC1	IDI1	
ZXDC	AGMO	HIBADH	LAPTM5	
TXNRD3	ANKMY2	CPVL	ERO1A	
CHCHD6	MACC1	TBRG4	ENSMFAG00000051840	
EEFSEC	HIBADH	GRB10	CDR2	
HMCES	TAX1BP1	COBL	CMTR2	
NUP210	CPVL	ZNF680	ENSMFAG00000031860	
TSEN2	WIPF3	LOC123572386	ENSMFAG00000053883	
TAMM41	PLEKHA8	NRIP1	ENSMFAG00000053800	
VGLL4	SEPTIN7	TMPRSS15	AOAH	
FANCD2	EEPD1	LOC101926433	NCF2	
SETD5	RALA	HUNK	MARCKSL1	
RAD18	NPC1L1	RCAN1	ENSMFAG00000049049	
TRNT1	OGDH	CBR3	ENSMFAG00000048044	
PDZRN3	DDC	LOC102140471	GLDC	
SHQ1	GRB10	HLCS	SLC45A3	
FOXP1	NRIP1	DYRK1A	CD79A	
SUCLG2	USP25	CBS	BANK1	
LRIG1	TMPRSS15	TSPEAR	DYRK2	
PTPRG	ITSN1	SMURF1	TICAM2	
FHIT	RCAN1	SLC12A9	FLT1	
CCDC66	DYRK1A	CUX1	IGKV1-27	
TKT	B3GALT5	ABHD11	ENSMFAG00000064094	
SFMBT1	TMPRSS2	CLIP2	TGFBR1	
STIMATE	TRAPPC10	GTF2I	ENSMFAG00000040755	
NEK4	LSS	LOC102133005	ITGAM	
GNL3	CYTH3	AP5Z1	IGHM	
PBRM1	SMURF1	MAD1L1	PCSK1	
LOC123571822	ZSCAN25	MICALL2	ENSMFAG00000039287	
POC1A	CYP3A5	GMDS	ARHGEF12	
DCAF1	CLIP2	CDYL	ENSMFAG00000056119	
IFRD2	LOC102133005	LYRM4	CCL18	
MST1R	JARID2	FARS2	KREMEN1	
DAG1	ATXN1	KIF13A	MXRA5	
ARIH2	LOC102142214	E2F3	ENSMFAG00000052171	
PRKAR2A	CARMIL1	CDKAL1	TIMP4	
CDC25A	SLC17A4	CARMIL1	ATM	
DHX30	LOC102124317	CCHCR1	EDEM1	
SMARCC1	LOC107129606	HSPA1A	ENSMFAG00000023841	
NBEAL2	HSPA1A	LOC123572795	KIF3B	
LIMD1	LOC123572795	WDR46	CTSD	
LARS2	ILRUN	ANKS1A	IFNAR1	
KIF15	ZFAND3	SRPK1	STARD7	
TCAIM	BTBD9	ZFAND3	NOLC1	
CTDSPL	MEP1A	BTBD9	ADH1A	
LOC102124408	LOC102135299	XPO5	CYP2C18	
TRA2B	LOC102146042	SUPT3H	GABRP	
IGF2BP2	GCLC	RCAN2	IGLV10-54	
DCUN1D1	LRRC1	FAM83B	ENSMFAG00000011568	
LOC107128891	SMAP1	PRIM2	TLR4	
TBL1XR1	MYO6	DOP1A	ASXL2	
NAALADL2	ME1	ME1	PLA2G3	
ECT2	LOC102118834	ORC3	RBP4	
FNDC3B	ATG5	RNGTT	VSIG4	
MECOM	ZDHHC14	MDN1	MARS2	
NMD3	TIAM2	MMS22L	ENSMFAG00000039068	
SMC4	CNKSR3	PNISR	CFTR	
IFT80	MTRF1L	ASCC3	TNPO1	
RSRC1	ESR1	TULP4	GALNT1	
GMPS	PLEKHG1	ZDHHC14	ENSMFAG00000038571	
TSC22D2	TAB2	ARID1B	MAN1A2	
PLOD2	SASH1	MTRF1L	DHCR24	
LOC102146372	MAP7	MTHFD1L	BIRC6	
ATR	PTPRK	SASH1	ENSMFAG00000061843	
GK5	ECHDC1	SAMD5	PYGL	
RASA2	NCOA7	UTRN	PKP2	
ZBTB38	RNF217	PHACTR2	MS4A4A	
NCK1	PKIB	PEX3	BTK	
STAG1	DCBLD1	AIG1	OLFM4	
PCCB	ROS1	HIVEP2	ENSMFAG00000060328	
CEP63	NT5DC1	MAP7	CD86	
TOPBP1	FRK	AHI1	STEAP3	
TMEM108	REV3L	AKAP7	DNASE2	
ANKRD28	SLC16A10	EPB41L2	PLD4	
OXNAD1	SESN1	L3MBTL3	GP2	
PLCL2	AFG1L	PTPRK	ENSMFAG00000053907	
TBC1D5	SNX3	PKIB	ENSMFAG00000004741	
UBE2E2	ACAT2	DCBLD1	TANGO6	
RARB	PRKN	NT5DC1	IGHV3-15	
STT3B	RPS6KA2	REV3L	IGFBP3	
OSBPL10	KIAA0232	AMD1	ENSMFAG00000001825	
CNOT10	RAB28	AFG1L	ENSMFAG00000050957	
RFC4	LOC102118468	LOC123573064	UBQLN1	
FGF12	CPEB2	MAP3K4	B3GNT5	
HES1	LCORL	PRKN	MS4A1	
ATP13A3	SLIT2	RPS6KA2	MILR1	
XXYLT1	PPARGC1A	SMOC2	ENSMFAG00000064836	
DLG1	C5H4orf19	STX18	PBRM1	
RNF168	UGDH	LOC102118468	IGKV6D-41	
ESYT2	UBE2K	LCORL	ENTPD7	
NCAPG2	RBM47	SLIT2	RHOBTB3	
UBE3C	LOC123573565	RBPJ	SLC4A7	
INSIG1	FRYL	APBB2	PDPK1	
PAXIP1	OCIAD2	LOC123573565	LRRC58	
LOC107129347	WDFY3	FRYL	SLC34A2	
LOC102127246	GPAT3	WDFY3	ENSMFAG00000059274	
PDIA4	LOC107129722	HNRNPDL	HIF1A	
EZH2	SEPTIN11	SLC4A4	SGMS1	
CUL1	SHROOM3	LOC123573469	ENSMFAG00000051441	
AGK	NAAA	SCFD2	HLA-DOA	
KIAA1549	SLC4A4	GPRIN3	EMID1	
TRIM24	LOC123573469	CCSER1	IGKV4-1	
NUP205	UGT2A3	RAP1GDS1	HSDL2	
EXOC4	UGT2B20	PPP3CA	SQLE	
