SYMBOL	D1	D2	D3	S1	S2	S3
Cpt1a	9409	8147	7420	980	7692	6869
Acox2	1025	585	1428	529	345	662
Ehhadh	3428	4193	6261	1710	2774	3151
Me1	1501	4025	3393	2430	629	537
Slc27a1	510	617	304	46	397	404
Hmgcs2	7517	5407	4252	1855	3097	3137
Aqp7	1093	1279	964	59	754	982
Plin2	4587	7971	6078	1370	3170	4411
Acsl1	1926	2330	3380	561	907	1768
Cyp27a1	2221	861	4116	927	528	1120
Cd36	2241	5124	6882	2231	1084	1102
Lpl	221	855	192	127	165	142
Acsl5	66214	99536	103174	14112	38577	47873
Fabp1	12983	140908	150135	56401	4037	4732
Cyp4a10	275	794	713	109	82	276
Pck1	6493	6417	23243	4001	2208	1698
Slc27a2	2154	7395	6112	841	1496	1623
Adipoq	0	423	59	0	0	33
Ppara	319	408	319	220	172	185
Bioinformatic analysis was performed using the omicshare tools at https://www.omicshare.com/tools/
