	HLF+SiNC			HLF+SiPPARA		
0	10603.14685	9403.846154	11099.0676	8794.289044	7557.692308	8738.344988
1	10515.73427	9590.909091	11002.331	8592.657343	7431.818182	8300.11655
2	11097.9021	9972.027972	11535.54779	8917.832168	7581.002331	9045.454545
3	11674.82517	10422.49417	11910.25641	9629.370629	8303.030303	9589.74359
4	11946.38695	10918.41492	12459.79021	10296.62005	8730.769231	10373.54312
5	12679.48718	11274.47552	12879.95338	10622.37762	9008.741259	10899.18415
6	12979.60373	11728.43823	13328.08858	11030.30303	9465.034965	11197.55245
7	13269.23077	12042.54079	13702.21445	11414.33566	9755.244755	11507.57576
8	13477.85548	12374.12587	13910.83916	11565.85082	10067.59907	11897.4359
9	13708.04196	12768.64802	14188.22844	11669.58042	10498.8345	12065.26807
10	13917.83217	12794.87179	14493.00699	12023.89277	10515.15152	12259.32401
11	14228.43823	13080.41958	14543.12354	12184.73193	10699.88345	12554.77855
12	14479.02098	13307.69231	14695.22145	12419.58042	11004.662	12665.50117
13	14622.96037	13397.4359	14842.65734	12548.95105	11090.90909	12805.94406
14	14870.04662	13745.338	14941.72494	12522.14452	11215.03497	13000.58275
15	14994.75524	13696.38695	15083.33333	12717.36597	11354.31235	13149.18415
16	15081.58508	13731.93473	15244.17249	12832.16783	11503.4965	13256.41026
17	15079.83683	13974.35897	15373.54312	13003.4965	11599.65035	13315.85082
18	15102.5641	13846.7366	15358.97436	13132.86713	11674.24242	13308.27506
19	15172.49417	14052.44755	15402.68065	13199.3007	11708.62471	13414.91841
20	15288.46154	14078.08858	15429.48718	13239.51049	11714.45221	13373.54312
21	15317.59907	14151.51515	15426.57343	13335.08159	11736.01399	13446.9697
22	15351.3986	14170.16317	15411.42191	13356.06061	11710.95571	13480.76923
23	15296.0373	14115.96737	15514.56876	13386.94639	11752.91375	13462.12121
24	15312.35431	14134.03263	15456.29371	13287.29604	11769.81352	13481.35198
25	15305.36131	14041.95804	15529.72028	13455.12821	11676.57343	13430.65268
26	15262.82051	14106.06061	15532.63403	13501.1655	11682.40093	13499.41725
27	15291.95804	14101.98145	15430.06993	13582.16783	11878.20513	13524.47552
28	15209.79021	14132.86713	15394.52214	13537.87879	11816.43357	13516.31702
29	15224.35897	14046.62005	15386.36364	13508.15851	11744.17249	13500.58275
30	15171.32867	14101.98135	15265.15152	13479.02098	11766.89977	13405.01166
