SiHLF+pcDNA3.1			SiHLF+PPARA		
9793.566971	10182.42919	10024.00384	11449.83197	10476.2362	10361.01776
9845.415266	10162.26596	10078.7326	11230.91695	10415.74652	10386.94191
9946.231397	10386.94181	10312.04993	11294.28709	10602.97648	10594.33509
10271.72348	10427.26836	10611.61786	11654.3447	10856.45703	10657.70523
10366.77868	10709.55353	10738.35814	12158.42535	10991.83869	10908.30533
10548.24772	10902.54441	10816.13058	12455.11282	11325.97216	11161.78589
10741.2386	11058.08929	11012.00192	12636.58185	11648.58377	11334.61354
10767.16275	11187.71003	11213.63418	12941.91071	11691.79069	11573.69179
10931.34902	11305.80893	11199.23188	13011.04177	11827.17235	11700.43207
11130.10082	11285.6457	11300.04801	13155.06481	12020.16323	11746.51944
11124.33989	11409.50652	11325.97316	13238.59818	12080.6529	11919.3471
11147.38458	11521.84349	11406.62506	13330.77292	12138.26212	11979.83677
11156.02496	11518.96303	11464.23428	13382.62122	12322.61162	12000
11288.52616	11478.63668	11542.00672	13546.80749	12377.34037	11994.23908
11230.91495	11588.0941	11616.8987	13604.41671	12437.83015	12069.13106
11199.23198	11740.75852	11616.8977	13676.42833	12446.47144	12146.9035
11265.48248	11639.94239	11628.42055	13736.91791	12518.48286	12092.17475
11210.75372	11674.50792	11495.91935	13676.42823	12547.28757	12213.1541
11158.90542	11562.16995	11616.8997	13618.81901	12518.48296	12253.48056
11101.29621	11593.85502	11605.37686	13613.05809	12506.96211	12279.4047
11216.51464	11573.69189	11510.32165	13610.17763	12509.84157	12244.83917
11279.88478	11513.20221	11516.08257	13662.02592	12506.96151	12216.03457
11219.3851	11562.16975	11565.05041	13584.25348	12578.97264	12164.18627
11219.3951	11579.45271	11553.52856	13647.62362	12486.79788	12181.46904
11196.35142	11550.6481	11513.20211	13581.37302	12506.96111	12178.58857
11184.82957	11556.40903	11478.63658	13569.85118	12492.55881	12141.14258
11230.91696	11467.11474	11461.35382	13535.28566	12486.79789	12123.85982
11147.38358	11495.91835	11455.59289	13555.44887	12443.59097	12103.69659
11121.45943	11516.08267	11498.79981	13489.19827	12434.94959	12043.20691
11153.1445	11452.71243	11409.50552	13497.83965	12409.02544	12037.44599
11109.93759	11449.83198	11418.1469	13535.28565	12437.83005	11982.71723
