		con						gw6471						
I	0	8.2	11.2	11.5	10.4	10	9.2	9.9	7.9	6.8	8	10.2	9.5	9
	15	28.9	28.5	27.9	29.6	21.6	21.1	18.6	19.1	22	18.9	17.3	16.2	19.1
	30	29.8	27.4	29.2	26.1	23.1	24.6	20.1	16.2	19.6	19.9	21.7	18.8	20.3
	60	27.2	24.2	24.8	21.1	22	21.5	17.4	16.6	18.4	17.5	17.9	15.8	14.3
	90	21.3	18.4	19.7	16.9	17.3	14.9	16.7	15.6	13.1	14.2	11.7	11.2	11.1
	120	15.7	14.3	14.6	14.4	16.4	11.9	14.1	14.2	11	11.4	9.7	9.9	9.8
		119.2	111.3	114.7	106.1	97.2	110.6	84.8	78.5	73.45	80.2	78.6	71.7	74.2
J	0	11.7	13	13.7	11.7	11.8	8.9	10.8	9.2	12.2	11.2	9.5	11.4	12.3
	15	9.3	9.9	5.7	9.4	8.7	7.1	6.1	6.8	6.5	6.9	6.6	6.7	5.7
	30	7.1	6.1	6.1	7.6	8	6.6	5.6	5.6	5.5	5.6	6.2	6	5.9
	60	7.8	7.1	6	9.6	9.6	8.8	6.3	5.9	4.1	5.1	5.8	5.7	5.6
	90	7.4	8.4	5.7	10.2	11.8	9.6	6.5	5.3	6.3	4.9	7.9	4.9	6.1
	120	10.1	8.6	8.4	9.3	12.4	9.8	7.7	7.3	6.1	6.4	7.3	7.5	8.5
		42.5	42.3	34.55	47.3	50.2	41.45	33.75	31.85	31.55	31.3	32.75	29.85	26.5
