		CON fEVs						GW6471 fEVs						
B	0	22.03	22.74	22.93	22.8	23.78	23.86	22.43	22.3	22.86	22.16	23.5	24.15	22.05
	2	30.56	28.56	31.16	27.9	28.43	29.5	26.65	26.98	27.51	26.64	27.96	27.91	27.17
	4	35.06	31.15	34.85	30.93	31.36	32.35	29.77	29.43	30.52	29.87	30.95	29.64	28.94
	6	38.52	34.16	38.45	34.65	34.54	34.25	31.08	30.66	30.92	32.37	32.33	31.61	30.99
	8	40.48	34.35	42.28	34.78	35.92	36.52	32.25	32.32	32.72	32.67	32.96	31.46	30.69
														
D	0	6.714	7.181	8.194	4.504	5.572	7.024	5.211	5.596	4.788	5.758	5.383	5.362	4.73
	2	26.666	21.117	26.788	16.219	12.649	16.075	15.49	17.013	18.397	16.096	8.805	8.499	18.727
	4	33.611	27.191	32.671	21.623	19.244	18.201	20.175	20.832	23.07	23.927	12.931	11.957	23.601
	6	36.648	30.708	38.179	25.042	23.463	19.46	18.787	21.647	23.224	27.343	17.117	13.603	24.56
	8	37.307	29.962	38.001	27.582	22.714	23.442	21.091	23.617	23.111	24.539	16.726	14.762	23.363
